gene_id	bp_length	symbol
100128811	2433	GPR158-AS1
100128822	1423	LINC01003
100128881	1753	VPS9D1-AS1
100128885	4369	LOC100128885
100128893	1788	GATA6-AS1
100128927	3636	ZBTB42
100128946	4015	LINC01310
100128993	1011	LOC100128993
100129027	3586	LOC100129027
100129034	5712	LOC100129034
100129046	1562	LOC100129046
100129055	2775	LOC100129055
100129066	2194	UNQ6494
100129075	3390	KTN1-AS1
100129083	729	LOC100129083
100129094	780	BTNL10
100129128	634	KHDC1L
100129138	1209	LOC100129138
100129148	460	LOC100129148
100129175	1993	LOC100129175
100129195	2979	ZSCAN16-AS1
100129196	2050	MATN1-AS1
100129203	1960	LOC100129203
100129213	1966	SLC39A12-AS1
100129216	213	LOC100129216
100129250	1806	TOPORS-AS1
100129269	1620	LINC01160
100129271	908	C1orf68
100129316	5249	LOC100129316
100129345	1670	LOC100129345
100129354	1012	NRADDP
100129385	447	C9orf92
100129387	4133	GABPB1-AS1
100129396	1759	FAM106CP
100129405	3012	MSTO2P
100129427	1776	DDC-AS1
100129460	1901	DPY19L1P1
100129464	674	LINC01546
100129480	1084	MKRN2OS
100129482	10265	ZNF37BP
100129515	631	LINC00633
100129518	1717	LOC100129518
100129520	2982	TEX13C
100129534	2247	LOC100129534
100129543	2370	ZNF730
100129550	5904	LOC100129550
100129583	5840	FAM47E
100129597	1023	LINC00462
100129617	1921	LOC100129617
100129620	2544	LOC100129620
100129654	2450	TCF24
100129662	833	FGF13-AS1
100129669	743	IZUMO3
100129716	2502	ARRDC3-AS1
100129722	1701	C9orf173-AS1
100129726	1645	LINC01126
100129792	3491	CCDC152
100129794	1768	SLC25A21-AS1
100129827	900	MRVI1-AS1
100129842	8391	ZNF737
100129845	2997	PCOLCE-AS1
100129858	2175	SCOC-AS1
100129917	1700	LOC100129917
100129924	983	LOC100129924
100129931	4300	LOC100129931
100129935	1831	LOC100129935
100129961	1405	CCNT2-AS1
100129973	1520	LOC100129973
10013	7939	HDAC6
100130000	1731	NA
100130015	2136	URAHP
100130017	1501	FTLP10
100130075	1058	LOC100130075
100130093	2377	LOC100130093
100130155	7312	MIR124-2HG
100130197	583	EFCAB14-AS1
100130231	5455	LINC00861
100130238	3877	LOC100130238
100130264	1789	LOC100130264
100130275	1918	TFAP2A-AS1
100130298	513	LOC100130298
100130301	563	C8orf89
100130302	2664	SUPT20HL1
100130311	3173	C17orf107
100130331	3125	LOC100130331
100130342	180	SCGB2B3P
100130348	512	TMEM262
100130357	2305	LOC100130357
100130370	767	LOC100130370
100130417	496	LOC100130417
100130418	2726	CECR7
100130449	2017	PP14571
100130451	1726	LOC100130451
100130452	506	LOC100130452
100130460	1143	CAND1.11
100130476	1964	LOC100130476
100130480	603	LINC01387
100130519	2305	TMEM221
100130522	3737	PARD6G-AS1
100130539	1110	C10orf142
100130557	3182	NFYC-AS1
100130581	4473	LINC00910
100130613	1227	PRR32
100130673	1596	LOC100130673
100130691	2215	LOC100130691
100130700	600	TP53TG3HP
100130705	3803	LOC100130705
100130717	626	CECR5-AS1
100130733	2249	LRRC70
100130742	1836	LRRC69
100130744	2599	LOC100130744
100130771	1906	EFCAB10
100130776	1531	AGAP2-AS1
100130827	1270	SBK3
100130849	564	LOC100130849
100130855	1851	USP3-AS1
100130872	4981	LOC100130872
100130880	577	LOC100130880
100130890	2428	TSTD3
100130894	2227	VAC14-AS1
100130899	4246	LOC100130899
100130933	828	SMIM6
100130934	1151	ZNF663P
100130935	801	CSAG4
100130950	1728	LOC100130950
100130954	2638	LINC01502
100130958	884	SYCE1L
100130967	638	C6orf99
100130987	850	LOC100130987
100130988	1404	C7orf72
100130992	6477	LOC100130992
100131017	7239	ZNF316
100131047	2125	LOC100131047
100131060	1123	LINC01135
100131067	2915	CKMT2-AS1
100131089	3320	SRP14-AS1
100131094	3071	DPP9-AS1
100131096	3189	TNRC6C-AS1
100131117	1719	ZBTB20-AS1
100131137	654	BSPH1
100131138	359	LINC01405
100131176	945	WDR86-AS1
100131187	672	TSTD1
100131193	2386	CCDC183-AS1
100131205	566	RPL21P28
100131208	2959	SNAP25-AS1
100131211	3942	NEMP2
100131213	3339	ZNF503-AS2
100131234	604	MIR181A1HG
100131244	1143	ANKRD63
100131257	21017	LOC100131257
100131289	828	LOC100131289
100131303	1185	LOC100131303
100131320	2460	RAB6C-AS1
100131347	3343	LOC100131347
100131366	1558	LINC00605
100131378	983	C11orf91
100131390	1455	SP9
100131434	3037	LINC00893
100131439	644	CD300LD
100131454	3004	DBIL5P
100131496	2253	LOC100131496
100131532	2828	LOC100131532
100131539	3441	ZNF705E
100131551	3896	LINC00887
100131561	608	FKSG29
100131564	4094	CCDC18-AS1
100131626	572	LOC100131626
100131635	338	LOC100131635
100131655	1295	LOC100131655
100131691	2606	MZF1-AS1
100131726	1158	FAM83A-AS1
100131733	978	USP30-AS1
100131755	8524	ARMCX4
100131801	429	PET100
100131814	2447	LINC00271
100131816	740	UBE2DNL
100131825	3294	CADM3-AS1
100131827	5130	ZNF717
100131897	3548	FAM196B
100131902	370	KRTAP25-1
100131997	1507	FAM27E3
100131998	2492	RRN3P3
100132077	2162	LOC100132077
100132078	2587	LOC100132078
100132101	1764	HERC2P7
100132103	1434	FAM66E
100132111	761	LOC100132111
100132146	1826	LOC100132146
100132163	1296	PHKA2-AS1
100132174	2281	LOC100132174
100132215	2161	LOC100132215
100132247	4230	NPIPB5
100132288	2910	TEKT4P2
100132341	1776	CLUHP3
100132352	1462	FRG1HP
100132354	2282	LINC01512
100132356	1785	LOC100132356
100132396	1207	ZNF705B
100132399	4095	GAGE12D
100132403	1278	FAM157B
100132406	12561	NBPF10
100132417	2147	FCGR1CP
100132463	663	CLDN24
100132476	938	KRTAP4-7
100132526	3374	FGD5P1
100132529	810	TAT-AS1
100132594	2143	PGAM1P5
100132596	1003	XGY2
100132618	1676	ZRANB2-AS1
100132677	2603	BSN-AS2
100132707	1769	PAXIP1-AS2
100132708	3079	CYP4F30P
100132724	2437	DCAF13P3
100132735	1294	LOC100132735
100132774	1613	KDM4A-AS1
100132781	2138	LOC100132781
100132815	5510	IPO5P1
100132831	1980	LOC100132831
100132832	3628	PMS2P9
100132891	4915	MSC-AS1
100132911	1626	DPH3P1
100132916	967	FAM159B
100132923	1071	FAM66D
100132929	349	FAM25BP
100132948	703	FAM27C
100132963	1016	SMIM9
100132987	3752	LINC00856
100133050	701	LOC100133050
100133093	669	FAM25G
100133121	703	FAM27B
100133123	580	LINC01203
100133161	4805	LINC01001
100133171	469	NA
100133172	775	FAM66A
100133205	977	LINC00240
100133234	6125	SBF1P1
100133267	480	LOC100133267
100133286	1221	LOC100133286
100133308	3105	RSU1P2
100133311	4168	HOXA-AS3
100133315	2271	LOC100133315
100133331	4523	LOC100133331
100133461	1033	LOC100133461
100133545	1904	MRPL23-AS1
100133612	2781	LINC01134
100133920	2028	LOC100133920
100133941	2374	CD24
100133957	565	UXT-AS1
100133985	661	LOC100133985
100133991	1633	MAP3K14-AS1
100134015	1794	UBOX5-AS1
100134229	2380	JHDM1D-AS1
100134259	2378	LINC01119
100134317	597	LOC100134317
100134368	1571	LOC100134368
100134391	1140	LOC100134391
100134444	2196	KCNJ18
100134713	1648	NDUFB2-AS1
100134868	1672	LOC100134868
100137047	4330	JMJD7
100137049	5274	PLA2G4B
10014	6563	HDAC5
100141515	2657	C17orf99
100144595	2362	LOC100144595
100144596	1749	LINC00029
100144597	1234	LINC01056
100144602	1177	EPHA5-AS1
100144603	627	CHKB-AS1
100144604	1762	LINC00930
100144748	4277	KLLN
100147744	63	RNU7-1
10015	6846	PDCD6IP
100151643	224	KRTAP20-4
100151683	130	RNU4ATAC
100151684	125	RNU6ATAC
100158262	348	SCARNA9L
10016	1730	PDCD6
100169751	1210	RNA5S1
100169752	749	TEX36-AS1
100169760	121	RNA5S9
100169851	1336	PATE3
100169890	1314	PEG3-AS1
100169989	1692	DBIL5P2
10017	887	BCL2L10
100170217	240	SNAR-B2
100170218	360	SNAR-C2
100170219	120	SNAR-C4
100170220	120	SNAR-E
100170221	120	SNAR-H
100170222	121	SNAR-I
100170226	119	SNAR-C3
100170227	119	SNAR-D
100170228	119	SNAR-G2
100170229	2398	SRRM5
100170765	946	ERICH4
10018	6212	BCL2L11
100187716	85	MIR1224
100188847	90	MIR1225
100188893	1857	TOMM6
100188947	1023	HECTD2-AS1
100188949	1589	LINC00426
100188953	1721	LINC00092
100188954	2651	DNMBP-AS1
100189589	2144	DCTN1-AS1
10019	5585	SH2B3
100190938	3260	RAMP2-AS1
100190939	4705	TPT1-AS1
100190940	3211	LOC100190940
100190949	697	C5orf52
100191040	1713	C2CD4D
100192204	626	PPIAP30
100192378	1710	ZFHX4-AS1
100192379	2224	PP12613
100192386	7638	FLJ16779
100192420	2379	FLJ41941
100192426	616	LOC100192426
10020	5477	GNE
10021	7228	HCN4
100216001	3926	LINC00704
100216479	2857	FAR2P2
100216545	3600	KMT2E-AS1
100216546	9419	LINC01004
10022	718	INSL5
10023	2651	FRAT1
100233156	2789	LOC100233156
100233209	2502	PCED1B-AS1
10024	3122	TROAP
100240728	697	LOC100240728
100240734	491	LOC100240734
100240735	905	LOC100240735
10026	5538	PIGK
100268168	1997	LOC100268168
100270679	677	LINC01432
100270746	941	LOC100270746
100270804	2017	LOC100270804
100271702	2352	LINC00940
100271715	4304	ARHGEF33
100271722	1610	LINC00899
100271832	1391	LOC100271832
100271836	8424	SMG1P3
100271846	2482	ERVV-2
100271849	1710	MEF2B
100271873	4374	AIRN
100271927	7084	RASA4B
100272147	1014	CMC4
100272217	2145	LOC100272217
100272228	5796	LINC00894
100286793	3703	NA
100286844	3088	BCDIN3D-AS1
100286922	1030	LOC100286922
100286938	442	VPS13A-AS1
100286979	1771	ANAPC1P1
100287010	1084	LOC100287010
100287015	2408	LOC100287015
100287029	1652	DDX11L10
100287036	1205	LOC100287036
100287042	2597	LOC100287042
100287072	2143	LOC100287072
100287083	992	DEFT1P2
100287098	1196	TONSL-AS1
100287102	1670	DDX11L1
100287114	1054	LINC00421
100287144	1593	USP17L10
100287171	3300	WASH1
100287177	924	EML2-AS1
100287178	1593	USP17L11
100287216	2792	SH3RF3-AS1
100287225	4771	LOC100287225
100287226	3835	ZNF729
100287227	2543	TIPARP-AS1
100287238	1593	USP17L13
100287284	1095	MANSC4
100287314	1895	LINC00941
100287327	1593	USP17L17
100287362	984	PRSS46
100287364	3186	USP17L18
100287399	1687	POTEB2
100287404	1593	USP17L19
100287428	2256	NA
100287441	1593	USP17L20
100287478	3186	USP17L21
100287482	1035	SMKR1
100287559	2730	ADPGK-AS1
100287569	2004	LINC00173
100287592	626	LOC100287592
100287596	1655	DDX11L5
100287616	2844	LOXL1-AS1
100287632	711	LOC100287632
100287639	2595	MTHFD2P1
100287718	1057	ANKRD66
100287722	1734	AP4B1-AS1
100287728	413	LOC100287728
100287765	3854	LINC00630
100287792	2112	LOC100287792
100287814	597	LINC00582
100287846	3510	LOC100287846
100287879	2129	LINC00994
100287902	1440	LGALS8-AS1
100287932	1349	TIMM23
100287944	569	LOC100287944
100287948	259	GM140
100288069	1371	LOC100288069
100288077	2642	WTAPP1
100288079	666	GS1-279B7.1
100288122	2166	LDLRAD4-AS1
100288123	1698	LOC100288123
100288142	19775	NBPF20
100288181	5684	LOC100288181
100288198	2993	HMGN3-AS1
100288287	293	KRTAP22-2
100288323	253	KRTAP21-3
100288346	713	NCAM1-AS1
100288413	2985	ERVMER34-1
100288428	2971	LMCD1-AS1
100288432	469	IL10RB-AS1
100288485	1494	MTRNR2L7
100288486	1670	DDX11L9
100288520	1680	USP17L15
100288524	702	WI2-2373I1.2
100288687	1574	DUX4
100288730	2191	PAN3-AS1
100288748	2183	LOC100288748
100288797	1025	TMEM239
100288801	2069	FRG2C
100288805	9658	HYDIN2
100288814	645	CLDN34
100288831	1223	SRGAP3-AS3
100288842	583	LOC100288842
100288846	1359	LOC100288846
100288866	1221	LOC100288866
100288966	1826	LOC100288966
100288974	835	BMS1P21
100289019	3842	SLC25A25-AS1
100289092	584	ATP2A1-AS1
100289124	1767	FAM27E2
100289137	2579	FAM95C
100289150	2351	FAM197Y5P
100289178	2427	GNG12-AS1
100289187	1121	GS1-259H13.2
100289211	3372	LINC00624
100289230	1876	LOC100289230
100289255	1530	LINC00675
100289333	374	LOC100289333
100289341	1872	MAN1B1-AS1
100289361	623	LOC100289361
100289373	1821	UBAC2-AS1
100289388	1083	KCTD21-AS1
100289410	1155	MCF2L-AS1
100289473	747	LOC100289473
100289495	3908	LOC100289495
100289509	970	KCNIP2-AS1
100289511	1431	LOC100289511
100289561	1387	LOC100289561
100289574	2708	HERC2P4
100289580	3776	LOC100289580
100289635	7452	ZNF605
100289650	1873	LOC100289650
100289673	1266	LOC100289673
100289678	4455	ZNF783
100292680	2244	LINC00942
100293516	3616	ZNF587B
100294362	3698	LOC100294362
100294720	1360	NHEG1
1003	4745	CDH5
100302111	99	MIR1184-1
100302112	120	MIR1284
100302113	76	MIR1200
100302114	84	MIR513C
100302115	86	MIR1468
100302116	86	MIR1265
100302117	79	MIR320B1
100302118	78	MIR1286
100302119	61	MIR1538
100302121	83	MIR1276
100302122	89	MIR1183
100302123	80	MIR1275
100302124	75	MIR1288
100302125	144	MIR1289-1
100302126	57	MIR1471
100302127	61	MIR1470
100302128	138	MIR1302-3
100302129	80	MIR1915
100302130	150	MIR1302-4
100302131	51	MIR302F
100302132	97	MIR1182
100302133	90	MIR1287
100302134	111	MIR1289-2
100302135	88	MIR320C1
100302136	65	MIR1252
100302137	80	MIR1914
100302138	66	MIR1292
100302139	61	MIR1537
100302140	90	MIR1302-6
100302141	80	MIR1913
100302142	73	MIR1246
100302144	80	MIR1912
100302145	136	MIR1247
100302146	150	MIR1302-5
100302148	86	MIR1263
100302149	66	MIR1249
100302150	92	MIR1296
100302153	112	MIR1298
100302155	119	MIR1256
100302156	69	MIR1229
100302157	85	MIR1185-1
100302158	92	MIR1231
100302161	63	MIR1205
100302163	81	MIR1278
100302164	89	MIR2113
100302165	103	MIR1273A
100302166	71	MIR1322
100302167	83	MIR1299
100302169	48	MIR320D2
100302170	59	MIR1206
100302171	79	MIR1321
100302172	73	MIR1258
100302174	149	MIR1307
100302175	87	MIR1207
100302177	105	MIR1269A
100302178	79	MIR1295A
100302179	83	MIR1270
100302181	142	MIR1294
100302182	62	MIR1279
100302183	53	MIR1825
100302184	129	MIR1272
100302185	67	MIR1204
100302186	149	MIR548I3
100302187	77	MIR1297
100302188	93	MIR1243
100302190	52	MIR1976
100302191	77	MIR548I4
100302192	84	MIR548F1
100302193	113	MIR1255A
100302195	50	MIR320C2
100302197	85	MIR1306
100302201	73	MIR1228
100302202	84	MIR1266
100302203	86	MIR1271
100302205	87	MIR1283-2
100302208	105	MIR1253
100302209	85	MIR1185-2
100302210	80	MIR1909
100302211	85	MIR1203
100302212	96	MIR1324
100302213	81	MIR1181
100302214	78	MIR1277
100302217	66	MIR1827
100302218	84	MIR1285-1
100302219	69	MIR1245A
100302220	71	MIR1293
100302222	80	MIR1911
100302223	128	MIR1302-8
100302224	75	MIR2110
100302225	91	MIR2053
100302226	83	MIR1238
100302227	143	MIR1302-1
100302228	82	MIR1261
100302229	113	MIR1250
100302232	75	MIR1226
100302235	91	MIR1179
100302236	73	MIR1260A
100302237	54	MIR1281
100302238	62	MIR103B1
100302239	86	MIR548F5
100302240	91	MIR1304
100302246	82	MIR1301
100302250	88	MIR1197
100302251	69	MIR1264
100302254	101	MIR1282
100302255	73	MIR1323
100302256	69	MIR1180
100302257	50	MIR1539
100302258	47	MIR1469
100302259	83	MIR1202
100302260	55	MIR2052
100302261	80	MIR1910
100302263	80	MIR1908
100302265	87	MIR1283-1
100302267	49	MIR2054
100302268	88	MIR1285-2
100302270	86	MIR1305
100302273	97	MIR1254-1
100302274	91	MIR1178
100302275	86	MIR548L
100302276	78	MIR1290
100302277	149	MIR548I2
100302279	93	MIR1262
100302280	102	MIR1237
100302281	73	MIR1208
100302282	62	MIR103B2
100302283	88	MIR1227
100302284	86	MIR1303
100302286	78	MIR1267
100302287	118	MIR548H3
100302288	84	MIR548P
100302289	70	MIR1251
100302290	44	MIR1973
100302292	836	NA
100302401	2365	RASAL2-AS1
100302640	3026	LINC00882
100302650	1659	BRE-AS1
100302691	2270	LINC00184
100302692	4550	FTX
100302736	3627	TMED7-TICAM2
100302738	107	RNU6-21P
100302739	384	PCNA-AS1
100302740	1552	FAS-AS1
100302741	107	RNU6-15P
100302742	107	RNU6-42P
100302743	136	SNORA80B
100302746	486	NCRUPAR
100303453	9770	TSNAX-DISC1
100303491	429	ZEB2-AS1
100303728	3088	SLC25A5-AS1
100303749	769	LOC100303749
100303755	1158	PET117
100306951	554	PITPNA-AS1
100306975	2328	NDUFAF4P1
100309464	3808	OTX2-AS1
100310812	3966	SPDYE2B
100310846	1423	ANKRD61
100312957	164	NA
100313769	138	MIR320B2
100313770	116	MIR548K
100313771	98	MIR548F2
100313772	86	MIR548M
100313773	88	MIR548H2
100313774	72	MIR302E
100313777	98	MIR670
100313778	91	MIR759
100313779	80	MIR2117
100313780	96	MIR2278
100313781	70	MIR718
100313806	63	MIR1255B1
100313822	84	MIR513B
100313824	115	MIR663B
100313829	114	MIR548O
100313830	102	MIR548H1
100313835	67	MIR1255B2
100313837	83	MIR762
100313838	85	MIR764
100313839	80	MIR2114
100313840	100	MIR2115
100313841	100	MIR548Q
100313842	89	MIR2276
100313843	76	MIR711
100313884	111	MIR548H4
100313886	80	MIR2116
100313887	93	MIR2277
100313892	59	MIR761
100313895	105	MIR548F4
100313896	48	MIR320D1
100313914	112	MIR548J
100313921	88	MIR548E
100313923	92	MIR449C
100313938	89	MIR548G
100316868	3763	HOTTIP
100316904	856	SAP25
100329109	1000	GCSHP3
100329135	3014	TRPC5OS
100335030	3160	LOC100335030
100337591	135	SNORA70F
100337616	432	CSN1S2BP
10036	3343	CHAF1A
100379132	142	SNORA70G
100379141	135	SNORA70D
100379174	1784	MACROD2-AS1
100379220	533	TMED11P
100379224	3361	LOC100379224
100379249	826	BOK-AS1
100379250	135	SNORA70E
100379251	1110	NPPA-AS1
100379345	617	MIR181A2HG
100379571	796	BACE1-AS
100379661	1073	GRIK1-AS2
10038	2249	PARP2
100381270	2940	ZBED6
10039	2360	PARP3
1004	11616	CDH6
10040	4160	TOM1L1
100419868	1238	ZNF33BP1
10042	4251	HMGXB4
100420587	3112	LOC100420587
100422212	2122	LOC100422212
100422556	455	LOC100422556
100422737	2451	LOC100422737
100422821	77	MIR1273C
100422823	96	MIR4300
100422824	66	MIR3128
100422825	81	MIR3160-2
100422826	91	MIR4274
100422827	85	MIR3160-1
100422828	78	MIR4287
100422829	85	MIR4319
100422832	76	MIR3191
100422833	85	MIR3188
100422837	78	MIR1193
100422839	85	MIR3119-1
100422840	65	MIR4317
100422841	87	MIR3174
100422842	81	MIR3074
100422843	78	MIR4293
100422845	164	MIR1233-2
100422846	83	MIR3164
100422847	80	MIR514B
100422849	74	MIR548T
100422850	80	MIR548V
100422851	71	MIR4316
100422853	63	MIR3182
100422854	70	MIR3187
100422855	66	MIR4301
100422856	75	MIR3123
100422857	81	MIR4318
100422858	85	MIR4285
100422859	78	MIR3136
100422860	67	MIR4292
100422861	91	MIR4306
100422862	82	MIR548S
100422863	99	MIR4265
100422864	78	MIR544B
100422865	65	MIR4320
100422866	68	MIR3115
100422867	81	MIR378C
100422868	70	MIR4270
100422869	74	MIR3152
100422871	78	MIR3117
100422872	82	MIR1244-3
100422873	76	MIR4297
100422874	58	MIR4279
100422875	77	MIR3192
100422876	77	MIR3148
100422877	79	MIR3202-2
100422878	82	MIR3168
100422879	67	MIR3124
100422880	82	MIR3162
100422881	77	MIR3170
100422882	81	MIR3120
100422883	90	MIR4325
100422884	81	MIR548U
100422887	76	MIR4280
100422888	66	MIR4264
100422889	73	MIR3194
100422891	85	MIR4327
100422892	85	MIR3157
100422893	84	MIR3154
100422894	67	MIR4260
100422895	76	MIR4294
100422896	90	MIR3140
100422897	60	MIR4302
100422898	72	MIR4255
100422899	80	MIR3190
100422900	81	MIR3158-1
100422901	77	MIR3135A
100422902	74	MIR3116-1
100422903	67	MIR4288
100422904	55	MIR3193
100422907	77	MIR3156-2
100422908	76	MIR3129
100422909	85	MIR4295
100422911	79	MIR500B
100422912	85	MIR3200
100422913	53	MIR320E
100422914	68	MIR4253
100422915	79	MIR3065
100422916	52	MIR3201
100422918	85	MIR3167
100422919	138	MIR1302-11
100422920	75	MIR548X
100422923	74	MIR548W
100422924	66	MIR4303
100422925	73	MIR4322
100422926	75	MIR3137
100422927	65	MIR4291
100422928	76	MIR3127
100422929	58	MIR4261
100422930	105	MIR4330
100422931	62	MIR4304
100422932	56	MIR4328
100422933	57	MIR378B
100422934	63	MIR3143
100422936	82	MIR3153
100422937	87	MIR4275
100422938	82	MIR3142
100422939	66	MIR3147
100422940	102	MIR4305
100422941	64	MIR4272
100422942	78	MIR3133
100422943	73	MIR3189
100422944	85	MIR3186
100422945	59	MIR4326
100422946	68	MIR3116-2
100422947	73	MIR3122
100422948	81	MIR4284
100422950	61	MIR3141
100422951	79	MIR3144
100422952	67	MIR4271
100422953	75	MIR3165
100422954	83	MIR4309
100422955	84	MIR4273
100422957	63	MIR3131
100422959	64	MIR4268
100422962	62	MIR4281
100422963	95	MIR4290
100422964	80	MIR3150A
100422965	83	MIR4263
100422966	84	MIR4277
100422967	79	MIR3146
100422968	61	MIR4251
100422970	86	MIR1273D
100422971	76	MIR4312
100422973	83	MIR3169
100422974	84	MIR3178
100422975	63	MIR4252
100422976	64	MIR4256
100422977	198	MIR1184-3
100422978	68	MIR3185
100422979	72	MIR4324
100422980	69	MIR4323
100422981	68	MIR3173
